;;;;Lightning;DataFly;IGreedy
Quality measure;Suppression limit;Privacy model;Dataset;Value;Value;Value
Loss;0.1;(0.2)-closeness;CUP;0.4628411914027559;0.7747106042847317;0.7747106042847317
Loss;0.1;(0.2)-closeness;FARS;0.1398469601888684;0.520240621050369;0.520240621050369
Loss;0.1;(0.2)-closeness;ATUS;0.024349735270498746;0.19819824079808063;0.19819824079808063
Loss;0.1;(0.2)-closeness;IHIS;0.1089608459777309;0.5954463424843963;0.4255885015446925
Loss;0.1;(0.05, 0.015)-presence;ADULT;0.0;0.6575991587891116;0.6575991587891116
Loss;0.1;(0.05, 0.015)-presence;CUP;1.0;0.38109278206625363;0.38109278206625363
Loss;0.1;(0.05, 0.015)-presence;FARS;0.40620798852339157;0.4385788322399302;0.4385788322399302
Loss;0.1;(0.05, 0.015)-presence;ATUS;0.25729019315046453;0.4948288570719734;0.4948288570719734
Loss;0.1;(0.05, 0.015)-presence;IHIS;0.538761894544941;0.5387006132690557;0.5387006132690557
Loss;0.1;(0.01)-uniqueness;ADULT;0.08597102349294329;0.08597102349294329;0.08597102349294329
Loss;0.1;(0.01)-uniqueness;CUP;0.039302909652130284;0.12972103811115265;0.12972103811115265
Loss;0.1;(0.01)-uniqueness;FARS;0.04127797129901328;0.04127797129901328;0.04127797129901328
Loss;0.1;(0.01)-uniqueness;ATUS;0.0;0.0;0.0
Loss;0.1;(0.01)-uniqueness;IHIS;0.0;0.0;0.0
Discernibility;0.0;(5)-anonymity;ADULT;5.559529664614174E-4;0.04996357210583971;0.04996357210583971
Discernibility;0.0;(5)-anonymity;CUP;0.07699798365815093;0.07699798365815093;0.07699798365815093
Discernibility;0.0;(5)-anonymity;FARS;0.1277990032843791;0.0;0.0
Discernibility;0.0;(5)-anonymity;ATUS;0.012799935792059547;0.5016475848296107;0.5016475848296107
Discernibility;0.0;(5)-anonymity;IHIS;6.336042612202779E-4;0.0064558112564274866;0.022102899041985476
Discernibility;0.0;recursive-(4,3)-diversity;ADULT;0.0;0.04996357210583971;0.04996357210583971
Discernibility;0.0;recursive-(4,3)-diversity;CUP;0.1261095712044543;0.1261095712044543;0.1261095712044543
Discernibility;0.0;recursive-(4,3)-diversity;FARS;0.1277990032843791;0.0;0.0
Discernibility;0.0;recursive-(4,3)-diversity;ATUS;0.12481069621207191;1.0;0.6605212123308248
Discernibility;0.0;recursive-(4,3)-diversity;IHIS;0.002667837226486698;0.12921385617221076;0.06457079526937404
Discernibility;0.0;(0.2)-closeness;ADULT;1.0;1.0;1.0
Discernibility;0.0;(0.2)-closeness;CUP;1.0;0.0;0.0
Discernibility;0.0;(0.2)-closeness;FARS;0.4345962055064574;0.0;0.0
Discernibility;0.0;(0.2)-closeness;ATUS;0.5103127296452521;1.0;0.6507715421762797
Discernibility;0.0;(0.2)-closeness;IHIS;0.0613220544470269;0.06241928147464574;0.029934722830605547
Discernibility;0.0;(0.05, 0.015)-presence;ADULT;0.0;0.040814821090713355;0.040814821090713355
Discernibility;0.0;(0.05, 0.015)-presence;CUP;1.0;1.0;1.0
Discernibility;0.0;(0.05, 0.015)-presence;FARS;0.0;0.0;0.0
Discernibility;0.0;(0.05, 0.015)-presence;ATUS;0.03905327421801562;0.7464975648565241;0.6778178397123227
Discernibility;0.0;(0.05, 0.015)-presence;IHIS;0.004986721310415207;0.00564179687351505;0.00564179687351505
Discernibility;0.0;(0.01)-uniqueness;ADULT;3.0535113332457375E-4;3.0535113332457375E-4;3.0535113332457375E-4
Discernibility;0.0;(0.01)-uniqueness;CUP;4.151369401724375E-6;5.272447851603497E-7;5.272447851603497E-7
