;;;;Time;Quality;Complete
Quality measure;Privacy model;Suppression limit;Dataset;Value;Value;Value
AECS;(5)-anonymity;1.0;SS13ACS_30;2962.0;0.9955865464726149;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2978.0;0.9956265520874464;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3004.0;0.995690112973822;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3079.0;0.9957295611743149;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3212.0;0.9958621146859019;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3229.0;0.9959083274439438;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3254.0;0.9959389728550467;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3279.0;0.9959998759651463;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3338.0;0.9960301352957558;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3465.0;0.9961350474762167;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3482.0;0.9963547735743323;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3720.0;0.9964193757459634;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3737.0;0.9966857047567433;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3974.0;0.9968285727546038;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3992.0;0.9969816656582892;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4227.0;0.9970079381233462;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4252.0;0.9970536678707806;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4261.0;0.997201745148187;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4468.0;0.9972587965667551;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4494.0;0.9972839945048647;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4511.0;0.9973652235928049;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4519.0;0.9974085463672757;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4713.0;0.9974331729956004;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4740.0;0.997536801360624;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4757.0;0.9976268702349351;false
