;;;;Time;Utility;Complete
Utility measure;Privacy model;Suppression limit;Dataset;Value;Value;Value
AECS;(5)-anonymity;1.0;SS13ACS_25;4844.0;0.9896595208070619;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4880.0;0.9941990982663321;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4920.0;0.996782213962366;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4964.0;0.9980708061207204;false
AECS;(5)-anonymity;1.0;SS13ACS_25;4995.0;1.0;false
AECS;(5)-anonymity;1.0;SS13ACS_30;11.0;0.0;false
AECS;(5)-anonymity;1.0;SS13ACS_30;19.0;0.9562530894710825;false
AECS;(5)-anonymity;1.0;SS13ACS_30;306.0;0.974859429065744;false
AECS;(5)-anonymity;1.0;SS13ACS_30;316.0;0.9795205811896226;false
AECS;(5)-anonymity;1.0;SS13ACS_30;588.0;0.9867408682302568;false
AECS;(5)-anonymity;1.0;SS13ACS_30;874.0;0.9896980778664763;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1161.0;0.9916698705626041;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1450.0;0.9919976869771217;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1460.0;0.9924212569278187;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1565.0;0.9925036393402478;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1574.0;0.9925387151744475;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1632.0;0.9926661573720398;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1737.0;0.9929268308881642;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1747.0;0.9932124184216315;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1852.0;0.9934992634211517;false
AECS;(5)-anonymity;1.0;SS13ACS_30;1862.0;0.9935617098801514;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2042.0;0.9937463077052915;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2052.0;0.9940938904095441;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2329.0;0.9943616699209822;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2339.0;0.9945934256055364;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2615.0;0.994738262277388;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2634.0;0.9947918932278793;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2662.0;0.9948539997203476;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2861.0;0.994880465555206;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2900.0;0.9950546246257922;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2919.0;0.9950718255216525;false
AECS;(5)-anonymity;1.0;SS13ACS_30;2948.0;0.9951317257906352;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3147.0;0.9951826970342456;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3186.0;0.9953667115458958;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3233.0;0.9954325259515572;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3271.0;0.9954488894949461;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3471.0;0.9955865464726149;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3490.0;0.9956265520874464;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3519.0;0.995690112973822;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3604.0;0.9957295611743149;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3756.0;0.9958621146859019;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3775.0;0.9959083274439438;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3804.0;0.9959389728550467;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3832.0;0.9959998759651463;false
AECS;(5)-anonymity;1.0;SS13ACS_30;3898.0;0.9960301352957558;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4041.0;0.9961350474762167;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4060.0;0.9963547735743323;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4324.0;0.9964193757459634;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4342.0;0.9966857047567433;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4618.0;0.9968285727546038;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4637.0;0.9969816656582892;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4899.0;0.9970079381233462;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4926.0;0.9970536678707806;false
AECS;(5)-anonymity;1.0;SS13ACS_30;4936.0;0.997201745148187;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5169.0;0.9972587965667551;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5196.0;0.9972839945048647;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5215.0;0.9973652235928049;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5224.0;0.9974085463672757;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5439.0;0.9974331729956004;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5466.0;0.997536801360624;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5485.0;0.9976268702349351;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5504.0;0.997680307745839;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5709.0;0.9977391599937145;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5737.0;0.9979692139126164;false
AECS;(5)-anonymity;1.0;SS13ACS_30;5978.0;0.9980254250037612;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6025.0;0.9981910442776701;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6248.0;0.9982398676897917;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6340.0;0.9983310306038858;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6517.0;0.9984103390213943;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6655.0;0.9984313119233935;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6692.0;0.9984678382012965;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6785.0;0.9985453617455659;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6923.0;0.9985607455338136;false
AECS;(5)-anonymity;1.0;SS13ACS_30;6932.0;0.9985811951485256;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7052.0;0.9986572550605723;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7190.0;0.9986673223579332;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7218.0;0.9987024221453288;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7319.0;0.9987818656874514;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7457.0;0.9988162833644543;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7485.0;0.9988602356681943;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7586.0;0.998927945752312;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7723.0;0.9989853526549939;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7751.0;0.9990421869202427;false
AECS;(5)-anonymity;1.0;SS13ACS_30;7852.0;0.9990984570736776;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8001.0;0.9991495496316852;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8028.0;0.9992184801137168;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8129.0;0.9992775390699267;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8266.0;0.999322545489738;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8294.0;0.9993671885149604;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8394.0;0.9993938017271774;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8530.0;0.9994728752097777;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8558.0;0.9995033194814656;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8658.0;0.999529279632673;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8793.0;0.9996106754166799;false
AECS;(5)-anonymity;1.0;SS13ACS_30;8920.0;0.9996361262573746;false
AECS;(5)-anonymity;1.0;SS13ACS_30;9083.0;0.9996950463326272;false
AECS;(5)-anonymity;1.0;SS13ACS_30;9183.0;0.9997491821450051;false
AECS;(5)-anonymity;1.0;SS13ACS_30;9344.0;0.9997904532657053;false
AECS;(5)-anonymity;1.0;SS13ACS_30;9442.0;0.9998679920795247;false
AECS;(5)-anonymity;1.0;SS13ACS_30;9761.0;0.999880131376012;false
AECS;(5)-anonymity;1.0;SS13ACS_30;9847.0;0.9998922426695084;false
AECS;(5)-anonymity;1.0;SS13ACS_30;9874.0;0.9999324126433415;false
AECS;(5)-anonymity;1.0;SS13ACS_30;9994.0;0.9999444037032429;false
AECS;(5)-anonymity;1.0;SS13ACS_30;10081.0;0.9999563672712224;false
AECS;(5)-anonymity;1.0;SS13ACS_30;10220.0;0.9999643277565727;false
AECS;(5)-anonymity;1.0;SS13ACS_30;10313.0;0.9999802123087355;false
AECS;(5)-anonymity;1.0;SS13ACS_30;10543.0;1.0;false
AECS;(0.01)-uniqueness;0.0;SS13ACS_15;262.0;0.0;true
AECS;(0.01)-uniqueness;0.0;SS13ACS_15;1232.0;1.0;true
AECS;(0.01)-uniqueness;0.0;SS13ACS_20;16199.0;1.0;true
AECS;(0.01)-uniqueness;0.0;SS13ACS_25;68671.0;1.0;true
AECS;(0.01)-uniqueness;0.0;SS13ACS_30;190442.0;1.0;true
AECS;(0.01)-uniqueness;1.0;SS13ACS_15;70.0;0.0;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_15;288.0;0.13213673439390716;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_15;691.0;0.20637699137884372;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_15;950.0;0.4658707658635842;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_15;10179.0;1.0;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;86.0;0.0;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;211.0;0.011543916670959428;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;367.0;0.0147644496177225;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;435.0;0.021179621779012912;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;567.0;0.02497238646417717;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;654.0;0.033115851481613404;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;1718.0;0.039433164542298484;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;2117.0;0.0498226223065611;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;2253.0;0.05546893939916361;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;2320.0;0.060894963566615584;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;2494.0;0.06610355311101372;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;2572.0;0.07205535493763929;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_20;3752.0;0.08121160656675037;false
